InternalId,EpsgNbr,EsriNbr,OracleNbr,MapInfoNbr,OemNbr,Oracle9Nbr,CsMapNbr,CsMapName,CtmxName,AdskName,EpsgName,EsriName,OracleName,MapInfoName,OemName,GeoToolsName,OcrName,OgcName,GeoTiffName,Oracle9Name,LegacyName,CnvrsnName,CnvrsnComment,MaintenanceComment,Quality,UserFlag,RfcnQualifier
4657,4657,4657,4657,0,0,0,,Reykjavik.LL,Reykjavik.LL,Reykjavik.LL,Reykjavik 1900,GCS_Reykjavik_1900,Reykjavik 1900,,,,,,,,,,,,0,0,0
4658,4658,37204,4658,0,0,0,,HJORSEY.LL,Hjorsey55.LL,HJORSEY.LL,Hjorsey 1955,GCS_Hjorsey_1955,Hjorsey 1955,,,,,,,,,,,,0,0,0
4659,4659,4659,4659,0,0,0,,IslandsNet1993.LL,IslandsNetwork 1993.LL,IslandsNet1993.LL|ISN93.LL,ISN93,GCS_ISN_1993,ISN93,,,,,,,,,,,,0,0,0
4660,4660,4660,4660,0,0,0,,Helle1954.LL,Helle1954.LL,Helle1954.LL,Helle 1954,GCS_Helle_1954,Helle 1954,,,,,,,,,,,,0,0,0
4661,4661,4661,4661,0,0,0,,Latvia1992.LL,Latvia1992.LL,Latvia1992.LL,LKS92,GCS_LKS_1992,LKS92,,,,,,,,,,,,0,0,0
4662,4662,4662,4662,0,0,0,,IGN72GrandeTerre.LL|IGN72GrandTerre.LL,IGN72/GrandeTerre.LL,IGN72GrandeTerre.LL|IGN72GrandTerre.LL,IGN72 Grande Terre|IGN72 Grand Terre,GCS_IGN72_Grande_Terre,IGN72 Grande Terre|IGN72 Grand Terre,,,,,,,,,,,,0,0,0
4663,4663,4663,4663,0,0,0,,PortoSanto1995.LL,PortoSanto1995.LL,PortoSanto1995.LL,Porto Santo 1995,GCS_Porto_Santo_1995,Porto Santo 1995,,,,,,,,,,,,0,0,0
4664,4664,4664,4664,0,0,0,,AzoresOriental1995.LL,AzoresOriental1995.LL,AzoresOriental1995.LL,Azores Oriental 1995,GCS_Azores_Oriental_1995,Azores Oriental 1995,,,,,,,,,,,,0,0,0
4665,4665,4665,4665,0,0,0,,AzoresCentral1995.LL,AzoresCentral1995.LL,AzoresCentral1995.LL,Azores Central 1995,GCS_Azores_Central_1995,Azores Central 1995,,,,,,,,,,,,0,0,0
4666,4666,4666,4666,0,0,0,,Lisbon1890.LL,Lisbon1890.LL,Lisbon1890.LL,Lisbon 1890,GCS_Lisbon_1890,Lisbon 1890,,,,,,,,,,,,0,0,0
4667,4667,4667,4667,0,0,0,,IraqKuwait1992.LL,IraqKuwaitBoundary1992.LL,IraqKuwait1992.LL,IKBD-92,GCS_IKBD_1992,IKBD-92,,,,,,,,,,,,0,0,0
4668,4668,4668,4668,0,0,8224,,EUROP79.LL,ED79.LL,EUROP79.LL,ED79,GCS_European_1979,ED79,,,,,,,Longitude / Latitude (ED 79),,,,,0,0,0
4669,4669,4669,4669,0,0,0,,Lithuania94.LL,Lithuania94.LL,Lithuania94.LL,LKS94,GCS_LKS_1994,LKS94,,,,,,,,,,,,0,0,0
4670,4670,4670,4670,0,0,0,,IGM1995.LL,IGM1995.LL,IGM1995.LL,IGM95,GCS_IGM_1995,IGM95,,,,,,,,,,,,0,0,0
4671,4671,4671,4671,0,0,0,,Voirol1879.LL,Voirol1879.LL,,Voirol 1879,GCS_Voirol_1879,Voirol 1879,,,,,,,,,,,,0,0,0
4672,4672,4672,0,0,0,8216,,CHATHAM.LL,Chatham1971.LL,CHATHAM.LL,CI1971,GCS_Chatham_Island_1971,,,,,,,,Longitude / Latitude (Chatham 1971),,,,,0,0,0
4673,4673,4673,0,0,0,0,,Chatham1979.LL,Chatham1979.LL,Chatham1979.LL,CI1979,GCS_Chatham_Islands_1979,,,,,,,,,,,,,0,0,0
4674,4674,4674,0,0,0,0,,SRG-SA/2000.LL,SRG-SA/2000.LL,SRG-SA/2000.LL,SIRGAS 2000,GCS_SIRGAS_2000,,,,,,,,,,,,,0,0,0
4675,4675,37220,0,0,0,8230,,GUAM63.LL,Guam63.LL,GUAM63.LL,Guam 1963,GCS_Guam_1963,,,,,,,,Longitude / Latitude (Guam 1963),,,,,0,0,0
4676,4676,4676,0,0,0,0,,Vientiane1982.LL,Vientiane1982.LL,,Vientiane 1982,GCS_Vientiane_1982,,,,,,,,,,,,,0,0,0
4677,4677,4677,0,0,0,0,,Lao1993.LL,Lao1993.LL,,Lao 1993,GCS_Lao_1993,,,,,,,,,,,,,0,0,0
