SeqNbr,EpsgNbr,EsriNbr,OracleNbr,MapInfoNbr,OemNbr,Oracle9Nbr,CsMapNbr,CsMapName,CtmxName,AdskName,EpsgName,EsriName,OracleName,MapInfoName,OemName,GeoToolsName,OcrName,OgcName,GeoTiffName,Oracle9Name,LegacyName,CnvrsnName,CnvrsnComment,MaintenanceComment,Quality,UserFlag,RfcnQualifier
18200,4265,4265,2000019,0,0,8291,,ROME1940.LL,MonteMario.LL,ROME1940.LL,Monte Mario,GCS_Monte_Mario,Rome 1940,,,Monte Mario,,,,Longitude / Latitude (Rome 1940),,,,,0,0,0
18300,4266,4266,4266,0,0,0,,Mporaloko.LL,Mporaloko.LL,Mporaloko_1.LL,M'poraloko,GCS_Mporaloko,M'poraloko,,,M'poraloko,,,,,,,,,0,0,0
18400,4267,4267,4267,0,0,8260,,LL27,NAD27.LL,LL27,NAD27,GCS_North_American_1927,NAD27,,,,,,,NAD 27 (Continental US)|Longitude / Latitude (NAD 27 for Continental US)|NAD 27 (Alaska)|Longitude / Latitude (NAD 27 for Canada),,,,,0,0,0
18500,4268,4268,4268,0,0,0,,MICHIGAN.LL,Michigan.LL,MICHIGAN.LL,NAD27 Michigan,GCS_North_American_Michigan,NAD27 Michigan,,,NAD27 Michigan,,,,NAD 27 (Michigan),,,,,0,0,0
18600,4269,4269,4269,0,0,8265,,LL83,NAD83.LL,LL83,NAD83,GCS_North_American_1983,NAD83,,,,,,,NAD 83 (Continental US)|NAD 83|NAD 83 (Canada)|Longitude / Latitude (NAD 83),,,,,0,0,0
18700,4270,4270,4270,0,0,8269,,NHRWN-O.LL,Nahrwan67.LL,NHRWN-O.LL,Nahrwan 1967,GCS_Nahrwan_1967,Nahrwan 1967,,,Nahrwan 1967,,,,Longitude / Latitude (Nahrwan for Masirah Island),,,,,0,0,0
18800,4271,4271,4271,0,0,0,,Naparima72.LL,Naparima72.LL,Naparima1972.LL,Naparima 1972,GCS_Naparima_1972,Naparima 1972,,,Naparima 1972,,,,,,,,,0,0,0
18900,4272,4272,4272,0,0,8229,,LL-NZGD49,NZGD49.LL,LL-GD1949-Grid,NZGD49,GCS_New_Zealand_1949,NZGD49,,,,,,,Longitude / Latitude (Geodetic Datum 1949),,,,,0,0,0
19000,4273,4273,4273,0,0,0,,NGO48.LL,NGO48.LL,NGO48a.LL,NGO 1948,GCS_NGO_1948,NGO 1948,,,NGO 1948,,,,,,,,,0,0,0
19100,4274,4274,4274,0,0,8289,,Datum73.LL,Datum73.LL,Datum73a.LL,Datum 73,GCS_Datum_73,Datum 73,,,Datum 73,,,,Longitude / Latitude (Melrica 1973)|Longitude / Latitude (D73),,,,,0,0,0
